,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
3651,You Can Do It - Feat. Mack 10 And Ms Toi,Ice Cube,0.504,0.945,7.0,-4.625,1.0,0.0504,0.00242,0.00257,0.536,0.744,97.972,audio_features,3gkSQbWTDBh0ZKq85WmJDz,spotify:track:3gkSQbWTDBh0ZKq85WmJDz,https://api.spotify.com/v1/tracks/3gkSQbWTDBh0ZKq85WmJDz,https://api.spotify.com/v1/audio-analysis/3gkSQbWTDBh0ZKq85WmJDz,219507.0,4.0,0
3652,Plain Sight,Kita Alexander,0.484,0.444,4.0,-6.935,0.0,0.0636,0.601,0.0,0.238,0.226,144.21,audio_features,3OXpdrHLT4IqM76RajgM6Q,spotify:track:3OXpdrHLT4IqM76RajgM6Q,https://api.spotify.com/v1/tracks/3OXpdrHLT4IqM76RajgM6Q,https://api.spotify.com/v1/audio-analysis/3OXpdrHLT4IqM76RajgM6Q,338333.0,4.0,3
3653,So Into You,Tamia,0.322,0.155,0.0,-18.919,1.0,0.0333,0.894,0.906,0.107,0.0815,123.783,audio_features,6FFAdW8aamHXXHcl7dmiUt,spotify:track:6FFAdW8aamHXXHcl7dmiUt,https://api.spotify.com/v1/tracks/6FFAdW8aamHXXHcl7dmiUt,https://api.spotify.com/v1/audio-analysis/6FFAdW8aamHXXHcl7dmiUt,236893.0,4.0,2
3654,History Has Its Eyes on You,Christopher Jackson,0.567,0.943,6.0,-7.992,0.0,0.0387,0.0312,0.0965,0.544,0.965,128.207,audio_features,7uHO4AmKtyGa5v5fsElGoC,spotify:track:7uHO4AmKtyGa5v5fsElGoC,https://api.spotify.com/v1/tracks/7uHO4AmKtyGa5v5fsElGoC,https://api.spotify.com/v1/audio-analysis/7uHO4AmKtyGa5v5fsElGoC,199667.0,4.0,3
3655,Take You Down,Chris Brown,0.235,0.86,4.0,-2.842,0.0,0.0561,0.00272,0.0969,0.388,0.342,127.788,audio_features,1PInWkBARsxLyouDqa2GtF,spotify:track:1PInWkBARsxLyouDqa2GtF,https://api.spotify.com/v1/tracks/1PInWkBARsxLyouDqa2GtF,https://api.spotify.com/v1/audio-analysis/1PInWkBARsxLyouDqa2GtF,227296.0,4.0,3
3656,You,Belly,0.327,0.39,6.0,-9.094,0.0,0.0337,0.745,0.000339,0.198,0.401,177.357,audio_features,6GLPIERsI3GVegT1EBBrZo,spotify:track:6GLPIERsI3GVegT1EBBrZo,https://api.spotify.com/v1/tracks/6GLPIERsI3GVegT1EBBrZo,https://api.spotify.com/v1/audio-analysis/6GLPIERsI3GVegT1EBBrZo,155027.0,3.0,2
3657,Best to You,Blood Orange,0.653,0.546,5.0,-8.818,0.0,0.282,0.101,0.0,0.134,0.462,149.975,audio_features,6Q1NPLtp9IzcXmCutp3Qmo,spotify:track:6Q1NPLtp9IzcXmCutp3Qmo,https://api.spotify.com/v1/tracks/6Q1NPLtp9IzcXmCutp3Qmo,https://api.spotify.com/v1/audio-analysis/6Q1NPLtp9IzcXmCutp3Qmo,230296.0,4.0,1
3658,How to Lose You,Port Cities,0.557,0.541,7.0,-10.266,1.0,0.0351,0.666,0.0435,0.113,0.432,141.996,audio_features,7xvE0obwGKwg2jQAcPjim6,spotify:track:7xvE0obwGKwg2jQAcPjim6,https://api.spotify.com/v1/tracks/7xvE0obwGKwg2jQAcPjim6,https://api.spotify.com/v1/audio-analysis/7xvE0obwGKwg2jQAcPjim6,252227.0,4.0,2
3659,Someone Like You,Bernard Dubicki,0.547,0.774,2.0,-4.843,1.0,0.0321,0.095,0.0,0.255,0.526,139.964,audio_features,4cjrMeGJAxTBQgN1hLVHdU,spotify:track:4cjrMeGJAxTBQgN1hLVHdU,https://api.spotify.com/v1/tracks/4cjrMeGJAxTBQgN1hLVHdU,https://api.spotify.com/v1/audio-analysis/4cjrMeGJAxTBQgN1hLVHdU,207600.0,4.0,0
3660,Coming Undone,Korn,0.482,0.927,7.0,-2.371,1.0,0.063,0.0152,0.000148,0.305,0.586,174.05,audio_features,0yH3S4xetaaby9moapVy7K,spotify:track:0yH3S4xetaaby9moapVy7K,https://api.spotify.com/v1/tracks/0yH3S4xetaaby9moapVy7K,https://api.spotify.com/v1/audio-analysis/0yH3S4xetaaby9moapVy7K,202700.0,4.0,0
