,title,artist
89,Single Saturday Night,Cole Swindell
90,Jonah,Kanye West
91,You Should Probably Leave,Chris Stapleton
92,Don't Go Yet,Camila Cabello
93,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
94,Jesus Lord,Kanye West
95,Summer Of Love,Shawn Mendes & Tainy
96,Ain't Shit,Doja Cat
97,Motley Crew,Post Malone
98,Remote Control,Kanye West
99,Baddest,"Yung Bleu, Chris Brown & 2 Chainz"
0,Lo Malo,Aitana y Ana Guerra
1,Dura,Daddy Yankee
2,Sin Pijama,Becky G & Natti Natasha
3,Te Bote,NIO GARCIA / DARELL / CASPER MAGICO
4,Me Niego,Reik Feat Ozuna & Wisin
5,Usted,Juan Magan y Mala Rodríguez
6,VAINA LOCA,OZUNA / MANUEL TURIZO
7,"1, 2, 3 (feat  Jason Derulo & De La Ghetto)",SOFÍA REYES
8,TELÉFONO,Aitana
9,X,Nicky Jam & J Balvin
10,La Cintura,Alvaro Soler
11,Échame La Culpa,Luis Fonsi & Demi Lovato
12,Bella,WOLFINE
13,MALAMENTE,Rosalía
14,Duro y Suave,Leslie Grace & Noriel
15,Perfect,ED SHEERAN
16,Ni La Hora,Ana Guerra y Juan Magan
17,I like It,CARDI B / BAD BUNNY / J BALVIN
18,Siguelo Bailando,OZUNA
19,No es justo,J BALVIN / ZION & LENNOX
20,A Partir de Hoy,David Bisbal y Sebastián Yatra
21,Déjala que Baile,MELENDI / ALEJANDRO SANZ / ARKANO
22,One Kiss,Calvin Harris feat Dua Lipa
23,Corazón,Maluma feat. Nego Do Borel
24,Mi Cama,KAROL G
25,Déjate Llevar,"Juan Magan & Belinda, Manuel Turizo, Snova y B-Case"
26,El Baño,Enrique Iglesias Feat Bad Bunny
27,MUJERES,MOZART LA PARA / JUSTIN QUILES
28,Criminal,NATTI NATASHA / OZUNA
29,La Player (Bandolera),Zion y Lennox
30,Asesina,BRYTIAGO / DARELL
31,BIEN DURO,C. Tangana
32,Downtown,ANITTA / J BALVIN
33,Ya No Quiero Na,Lola Indigo
34,No Me Acuerdo,Thalia & Natti Natasha
